snp_sets,tr_score,va_score,co_score,tr_untypeable,va_untypeable,co_untypeable,r_type
"111363, 195968, 213179, 146583, 39801",0.301983632232523,0.289875801252199,0.323341722800794,0,1,1,mcc_esea_sensitive
"146583, 213179, 177155, 40028, 27917",0.974238035459775,0.942448875280282,0.970858684952965,0,1,1,mcc_esea_sensitive
"100293, 213179, 58717, 177184, 169055",0.849905701754439,0.94137156430614,0.877215528960492,0,1,1,mcc_esea_sensitive
"111360, 195968, 213179, 213379, 38799",0.158038468251258,0.147182216722626,0.159645143925228,0,2,2,mcc_esea_sensitive
"154740, 213179, 211286, 213220, 40003",0.892583354203565,0.956711594669004,0.913024659027848,0,2,2,mcc_esea_sensitive
"214249, 116246, 213179, 213220, 213507",0.71952460603683,0.870357806044341,0.760506144591455,0,4,4,mcc_esea_sensitive
"211286, 213179, 60322, 40003, 77693",0.963625436922799,0.889437522198278,0.952293216099442,0,2,2,mcc_esea_sensitive
"200482, 228502, 40003, 219064, 214348",0.946469415177134,0.956294196483839,0.953793343837318,0,2,2,percent_esea_sensitive
"160633, 228502, 40028, 136971, 214348",0.910872003867756,0.999999999897119,0.934723698744169,0,0,0,percent_esea_sensitive
"228502, 136971, 40003, 81211, 2648",0.936478945621524,0.912708810824732,0.939254883768303,0,2,2,percent_esea_sensitive
"136971, 228107, 40003, 33567, 226429",0.895579898759752,0.912708810824732,0.909085044255294,0,2,2,percent_esea_sensitive
"84458, 151244, 40003, 78358, 171851",0.826149237987415,0.854980089625076,0.846515949342007,0,3,3,percent_esea_sensitive
"219064, 228107, 40003, 33567, 151244",0.886650084338096,0.927152898996731,0.904595352549537,0,2,2,percent_esea_sensitive
"10684, 228107, 40003, 33567, 195481",0.877896051242082,0.883394080868617,0.889208885662438,0,2,2,percent_esea_sensitive
"151244, 228107, 40003, 142240, 33567",0.875015988029847,0.883027223480839,0.88843266636473,0,2,2,percent_esea_sensitive
"195481, 228107, 40003, 33567, 69765",0.875015988029847,0.897670797465673,0.889905373165322,0,2,2,percent_esea_sensitive
"224524, 228107, 40003, 33567, 135126",0.860890066059778,0.853396926032522,0.87173908463572,0,2,2,percent_esea_sensitive
"167346, 41777, 31294, 222194, 77591",0.0138842144280977,-0.0627236309116006,-0.0287764464975274,0,3,3,mcc_vietnam_sensitive
"222194, 31294, 53497, 39923, 82705",0.0260568494897246,-0.2407084438571,-0.0874294494265943,0,5,5,mcc_vietnam_sensitive
"185010, 30704, 151772, 169585, 81006",0.188123080824525,0.132995375683867,0.172852255112739,0,1,1,mcc_vietnam_sensitive
"222266, 31294, 8313, 9091, 203773",0,-0.0944361042691131,-0.0580676915074385,0,3,3,mcc_vietnam_sensitive
"223125, 31294, 194967, 55296, 198744",0,0.0271027592191759,0.00710992306291957,0,2,2,mcc_vietnam_sensitive
"31294, 179791, 194967, 30251, 37283",0,-0.0944361042691131,-0.0580676915074385,0,3,3,mcc_vietnam_sensitive
"190432, 84705, 99637, 168684, 196631",0.00981146885263336,0.0191311279855593,0.0106663000678203,0,1,1,mcc_vietnam_sensitive
"215503, 213164, 82705, 16553, 103095",0.155880483434859,-0.0167548204256601,0.113929937776888,0,0,0,mcc_vietnam_sensitive
"47931, 39967, 37655, 78058, 169585",0.163892769669957,0.140316303897929,0.160960754043231,0,1,1,mcc_vietnam_sensitive
"173975, 175403, 220689, 194967, 40056",0.13977299343603,0.178774085190204,0.150407531297904,0,1,1,mcc_vietnam_sensitive
"137760, 6267, 39967, 194341, 110642",0.637555873781665,0.336548008896127,0.565388407407675,0,1,1,percent_vietnam_sensitive
"48685, 6267, 228502, 39967, 103600",0.57182853252953,0.336167225250156,0.522775222922531,0,0,0,percent_vietnam_sensitive
"200482, 228502, 39967, 41910, 103600",0.553893046294931,0.348607986994228,0.513828067115344,0,1,1,percent_vietnam_sensitive
"160633, 6267, 39967, 228502, 103600",0.547482486239223,0.318729492220465,0.50232096503594,0,0,0,percent_vietnam_sensitive
"16358, 228502, 40003, 103600, 53541",0.576517100917056,0.267148067618096,0.509305080075783,0,2,2,percent_vietnam_sensitive
"59509, 39967, 6267, 141859, 110642",0.560471021759445,0.340225131506686,0.515204161215428,0,3,3,percent_vietnam_sensitive
"141859, 6267, 39967, 228502, 2091",0.57416207728869,0.361850912462643,0.529993350390859,0,1,1,percent_vietnam_sensitive
"226497, 6267, 39967, 228502, 53541",0.56495331301511,0.274436282118613,0.50380943331668,0,0,0,percent_vietnam_sensitive
"6267, 84458, 39967, 228502, 103600",0.560471021759445,0.330310422626142,0.51381489287408,0,0,0,percent_vietnam_sensitive
"228502, 41910, 39967, 103600, 75768",0.57416207728869,0.349128984879277,0.527971010922021,0,1,1,percent_vietnam_sensitive
